tag,content,level
para,"Club Lloyds Lifestyle Benefits Terms and Conditions For the purpose of these Terms and Conditions, the ""Administrator"" is Hawk Incentives Limited (company number 04155659) and the Reward Suppliers are Vue Entertainment Limited (company number 04699504) (""Vue""), ODEON Cinemas Limited (company number 01854132) (""ODEON""), Simard Limited (company number 06655278) (trading as Gourmet Society) (""Gourmet Society""), The National Magazine Company Limited (company number 00112955) (trading as Hearst Magazines UK) (""Hearst Magazines""), Bauer Consumer Media Limited (company number 01176085) (""Bauer Media"") and Rakuten TV Europe, S.L.U (Spanish CIF B65390544) (""Rakuten TV"").",0
header,General Terms and Conditions,0
list_item,"1. Club Lloyds Lifestyle Benefits are only available to Club Lloyds account holders, who are resident in the UK and aged 18 or over.",1
list_item,"2. On opening a Club Lloyds account with Lloyds Bank, you will be invited to select one benefit choice per account year.",1
list_item,"3. You can select one of the following Lifestyle Benefits: 6 cinema tickets, a 12-month Magazine Subscription, a 12-month Gourmet Society Digital Membership or 12 Rakuten TV movie rental codes.",1
list_item,"4. Once you have opened a qualifying Club Lloyds account you will receive a welcome email or letter providing details of any actions you need to take. The Administrator will contact you by email if you provided an email address when you opened your Club Lloyds account. If you did not provide an email address, the Administrator will contact you by post. You should check your junk folder for any email communications.",1
list_item,"5. To receive the benefit in full for the first year, you have 30 days from opening your Club Lloyds account to make your Lifestyle Benefit selection and you may change your selection within the 30-day period. Once the 30-day period has expired you will not be able to change your Lifestyle Benefit selection other than as set out in condition 14. If you make your Lifestyle Benefit selection after the initial 30-day period, then it will be fulfilled on a pro-rata basis. For example, if you make your Lifestyle Benefit selection 6 months after the end of the 30-day selection period, the Lifestyle Benefit will only be valid for the remaining 6 months of the benefit year. Thereafter you will not be able to change your Lifestyle Benefit selection other than as set out in condition 14.",1
list_item,6. If selecting a 12-month Magazine Subscription as a Lifestyle Benefit you will need to confirm the publication title by visiting http://www.clublloyds.com or calling 0345 3030303 (+441733 462224 if calling from abroad).,1
list_item,"7. If you choose a 12-month Gourmet Society digital membership, a 12-month digital Magazine Subscription or 12 Rakuten TV movie rental codes, you must provide a valid email address.",1
list_item,8. The Lifestyle Benefit for digital magazines is available to download on Apple and Android devices.,1
list_item,"9. Apple is a registered trademark of Apple Inc., registered in the U.S. and other countries. Android is a trademark of Google Inc.",1
list_item,"10. After the 30-day period, Lifestyle Benefits will start to be dispatched. Timings vary depending on the Lifestyle Benefit selected.",1
list_item,11. Postal delivery of Lifestyle Benefits will be delivered to UK street addresses only (i.e. no PO Box addresses).,1
list_item,"12. Neither the Administrator nor any Supplier accepts responsibility for delays by the postal services, for incorrect details being provided by the account holder or for any other unforeseen circumstances that may delay delivery.",1
list_item,"13. One Lifestyle Benefit per account is available for each 12 months that you have a Club Lloyds account and if leaving Club Lloyds, the benefit may be cancelled at the sole discretion of Lloyds Bank.",1
list_item,14. After the initial 12-month period you will be able to select a new or the same Lifestyle Benefit for the following 12-month period. 30 days before the expiry of any 12-month period you will be sent an email or letter asking you to choose your benefit for the following benefit year. Your final choice must be communicated to the Administrator within 30 days of the expiry of that benefit year or you will be deemed to have chosen the same benefit for the following benefit year.,1
list_item,"15. Any Lifestyle Benefit will only be delivered to the email or postal address originally provided to Lloyds Bank when selecting to join Club Lloyds, unless amended or changed by you through Lloyds Bank.",1
list_item,16. Any Lifestyle Benefit that is lost in transit and not delivered to you will only be re-issued twice and only within the same benefit year it was originally issued in.,1
list_item,"17. In addition to these general terms and conditions and the terms specified under the section for each Lifestyle Benefit and/or Supplier below, the Lifestyle Benefits are subject to the general terms and conditions of business of the relevant Supplier which can be read (and may be updated from time to time) online at:",1
para,Vue: http://www.myvue.com/legal Odeon: https://www.odeon.co.uk/privacy-and-legal/ Gourmet Society: https://www.gourmetsociety.co.uk/terms_and_conditions.php Hearst Magazines: http://www.hearstmagazines.co.uk/TermsandConditions.aspx Rakuten: https://www.rakuten.tv/uk/terms_conditions/2366,1
para,Any disputes arising other than in connection with these Lifestyle Benefits terms and conditions should be raised with the relevant Supplier.,1
