tag,content,level
header,NatWest Privacy Notice,0
header,Contents,0
table,,0
header,Who we are,0
list_item,1.1 This privacy notice (the “Privacy Notice”) applies to all personal information processing activities carried out by National Westminster Bank Plc (NatWest).,1
list_item,"1.2 NatWest is a data controller in respect of personal information that we process in connection with our business (including the products and services that we provide). In this notice, references to “we”, “us” or “our” are references to NatWest.",1
list_item,"1.3 Our principal address is 250 Bishopsgate, London EC2M 4AA and our contact details can be located at natwest.com",1
list_item,1.4 We are a member of NatWest Group plc. More information about the NatWest group can be found at NatWestGroup.com by clicking on ‘About Us’.,1
list_item,1.5 We respect individuals’ rights to privacy and to the protection of personal information. The purpose of this Privacy Notice is to explain how we collect and use personal information in connection with our business. “Personal information” means information about a living individual who can be identified from that information (either by itself or when it is combined with other information). We may update our Privacy Notice from time to time. When we do we will communicate any changes to you and publish the updated Privacy Notice on our website. We would encourage you to visit our website regularly to stay informed of the purposes for which we process your information and your rights to control how we process it.,1
header,2 The information we process,0
list_item,"2.1 We collect and process various categories of personal information at the start of, and for the duration of, your relationship with us. We will limit the collection and processing of information to information necessary to achieve one or more legitimate purposes as identified in this notice. Personal information may include:",1
list_item,"a) basic personal information, including name and address, date of birth and contact details;",2
list_item,"b) financial information, including account and transactional information and history;",2
list_item,"c) information about your family, lifestyle and social circumstances (such as dependents, marital status, next of kin and contact details);",2
list_item,"d) information about your financial circumstances, including personal wealth, assets and liabilities, proof of income and expenditure, credit and borrowing history and needs and goals;",2
list_item,e) education and employment information;,2
list_item,f) goods and services provided;,2
list_item,g) visual images and personal appearance (such as copies of passports or CCTV images); and,2
list_item,"h) online profile and social media information and activity, based on your interaction with us and our websites and applications, including for example your banking profile and login information, Internet Protocol (IP) address, smart device information, location coordinates, online and mobile banking security authentication, mobile phone network information, searches, site visits and spending patterns.",2
list_item,"2.2 We may also process certain special categories of information for specific and limited purposes, such as detecting and preventing financial crime, it is in the wider public interest (for example, to protect customers’ economic well-being) or to make our services accessible to customers. We will only process special categories of information where we’ve obtained your explicit consent or are otherwise lawfully permitted to do so (and then only for the particular purposes and activities set out at Schedule A for which the information is provided). This may include:",1
list_item,"a) information about racial or ethnic origin,",2
list_item,b) religious or philosophical beliefs;,2
list_item,c) trade union membership;,2
list_item,d) physical or psychological health details or medical conditions; and,2
list_item,"e) biometric information, relating to the physical, physiological or behavioural characteristics of a person, including, for example, using voice recognition or similar technologies to help us prevent fraud and money laundering.",2
list_item,"2.3 Where permitted by law, we may process information about criminal convictions or offences and alleged offences for specific and limited activities and purposes, such as to perform checks to prevent and detect crime and to comply with laws relating to money laundering, fraud, terrorist financing, bribery and corruption, and international sanctions. It may involve investigating and gathering intelligence on suspected financial crimes, fraud and threats and sharing data between banks and with law enforcement and regulatory bodies.",1
header,3 How we obtain information,0
list_item,"3.1 Your information is made up of all the financial and personal information we collect and hold about you/your business and the proprietors, officers and beneficial owners of that business and your transactions. It includes:",1
list_item,a) information you give to us;,2
list_item,"b) information that we receive from third parties – including other NatWest group companies, third parties who provide services to you or us, credit reference, fraud prevention or government agencies, and other banks (where permitted by law);",2
list_item,"c) information that we learn about you through our relationship with you and the way you operate your accounts and/or services, such as the payments made to and from your accounts;",2
list_item,"d) information that we gather through cookies or similar tracking tools (e.g. pixels) when you use our websites, internet banking, mobile banking app or web chat services. Advertising or targeting cookies or similar technologies may also be used to track your responses to particular adverts, messages or forms, which helps us to ensure we present you with the most relevant content in the future;",2
para,"When running email campaigns, we also track delivery and log when emails are opened and when the links within them are clicked (we do not track an individual’s activity after clicking a link). These tracking logs are created by recording URLs as they are automatically downloaded to the email, for example, when images in the email are activated.",3
para,We track delivery and analyse the overall open and click rates of bulk emails in order to:,3
list_item,• Identify delivery problems with Internet Service Providers.,3
list_item,• Provide evidence that regulatory messages are being opened.,3
list_item,• Ensure subject lines and email content are clear and helpful.,3
list_item,• Measure the overall performance of communication campaigns.,3
para,"We do not use this technology to target individuals with follow on messages or online content. By default, tracking logs are deleted after 6 months.",3
list_item,"e) information that we gather from the technology which you use to access our services (for example location data from your mobile phone, or an IP address or telephone number) and how you use it (for example pattern recognition); and",2
list_item,"f) information that we gather from publicly available sources, such as the press, the electoral register, company registers and online search engines. Information that you make public on social media e.g. Facebook, Twitter.",2
header,4 Your rights,0
list_item,4.1 We want to make sure you are aware of your rights in relation to the personal information we process about you. We have described those rights and the circumstances in which they apply in the table below.,1
para,"If you wish to exercise any of these rights, if you have any queries about how we use your personal information that are not answered here, or if you wish to complain to our Data Protection Officer, please contact us at 03457 888 444. Overseas number: +44 3457 888 444. Relay UK 18001 03457 888 444.",2
para,"Please note that in some cases, if you do not agree to the way we process your information, it may not be possible for us to continue to operate your account and/or provide certain products and services to you.",2
header,Table A – Your Rights Changes to the way we use your information,0
table,,1
para,Lodge complaints – You have a right to lodge a complaint with the regulator.,3
list_item,"g) with other banks to help trace funds where you are a victim of suspected financial crime and you have agreed for us to do so, or where we suspect funds have entered your account as a result of a financial crime;",2
list_item,h) with debt collection agencies;,2
list_item,i) with credit reference and fraud prevention agencies;,2
list_item,j) with third-party guarantors or other companies that provide you with benefits or services (such as insurance cover) associated with your product or service;,2
list_item,"k) where required for a proposed sale, reorganisation, transfer, financial arrangement, asset disposal or other transaction relating to our business and/or assets held by our business;",2
list_item,l) in anonymised form as part of statistics or other aggregated data shared with third parties; or,2
list_item,"m) where permitted by law, it is necessary for our legitimate interests or those of a third party, and it is not inconsistent with the purposes listed above.",2
list_item,"7.2 If you ask us to, we will share information with any third party that provides you with account information or payment services. If you ask a third-party provider to provide you with account information or payment services, you’re allowing that third party to access information relating to your account. We’re not responsible for any such third party’s use of your account information, which will be governed by their agreement with you and any privacy statement they provide to you.",1
list_item,"7.3 In the event that any additional authorised users are added to your account, we may share information about the use of the account by any authorised user with all other authorised users.",1
list_item,"7.4 In the event that you link your assets and liabilities with your immediate family under a Fee Family, the sum of the combined assets and liabilities held within the Fee Family may be shared with other members of the Fee Family. In some instances this may allow other members of the Fee Family to calculate the combined assets and liabilities you hold with us.",1
list_item,7.5 NatWest will not share your information with third parties for their own marketing purposes without your permission.,1
header,8 Transferring information overseas,0
list_item,8.1 We may transfer your information to organisations in other countries (including to other NatWest group companies) on the basis that anyone to whom we pass it protects it in the same way we would and in accordance with applicable laws.,1
list_item,"8.2 In the event that we transfer information to countries outside of the European Economic Area (which includes countries in the European Union as well as Iceland, Liechtenstein and Norway), we will only do so where:",1
list_item,a) the European Commission has decided that the country or the organisation we are sharing your information with will protect your information adequately;,2
list_item,b) the transfer has been authorised by the relevant data protection authority; and/or,2
list_item,"c) we have entered into a contract with the organisation with which we are sharing your information (on terms approved by the European Commission) to ensure your information is adequately protected. If you wish to obtain a copy of the relevant data protection clauses, please contact us at 03457 888 444. Overseas number: +44 3457 888 444. Relay UK 18001 03457 888 444.",2
header,9 Marketing information,0
para,"Unless you have told us that you do not want to hear from us, we will send you relevant marketing information (including details of other products or services provided by us or other NatWest group companies which we believe may be of interest to you), by mail, phone, email, text and other forms of electronic communication. If you change your mind about how you would like us to contact you or you no longer wish to receive this information, you can tell us at any time by contacting us at 03457 888 444. Overseas number: +44 3457 888 444, Relay UK 18001 03457 888 444, via online banking, webchat or in branch.",0
header,Communications about your account,0
list_item,"10.1 We will contact you with information relevant to the operation and maintenance of your account (including updated information about how we process your personal information), by a variety of means including via online banking, mobile banking, email, text message, post and/or telephone. If at any point in the future you change your contact details you should tell us promptly about those changes.",1
list_item,"10.2 We may monitor or record calls, emails, text messages or other communications in accordance with applicable laws for the purposes outlined in Schedule A – Purposes of Processing.",1
header,11 Credit reference and fraud prevention agencies,0
list_item,11.1 We may access and use information from credit reference and fraud prevention agencies when you open your account and periodically to:,1
list_item,"a) manage and take decisions about your accounts, including assessing your creditworthiness and checks to avoid customers becoming over-indebted;",2
list_item,"b) prevent criminal activity, fraud and money laundering;",2
list_item,c) check your identity and verify the accuracy of the information you provide to us; and,2
list_item,d) trace debtors and recover debts.,2
list_item,"11.2 Application decisions may be taken based solely on automated checks of information from credit reference and fraud prevention agencies and internal NatWest records. To help us make decisions on when to give you credit, we use a system called credit scoring to assess your application. To work out your credit score, we look at information you give us when you apply; information from credit reference agencies that will show us whether you’ve kept up to date with payments on any credit accounts (that could be any mortgages, loans, credit cards or overdrafts), or if you’ve had any court action such as judgments or bankruptcy; your history with us such as maximum level of borrowing; and affordability, by looking at your available net income and existing debts. You have rights in relation to automated decision-making, including a right to appeal if your application is refused.",1
list_item,"11.3 We will continue to share information with credit reference agencies about how you manage your account including your account balance, payments into your account, the regularity of payments being made, credit limits and any arrears or default in making payments, while you have a relationship with us. This information will be made available to other organisations (including fraud prevention agencies and other financial institutions) so that they can take decisions about you, your associates and members of your household.",1
list_item,"11.4 If false or inaccurate information is provided and/or fraud is identified or suspected, details will be passed to fraud prevention agencies. Law enforcement agencies and other organisations may access and use this information.",1
list_item,"11.5 If we, or a fraud prevention agency, determine that you pose a fraud or money laundering risk, we and others may refuse to provide the services and financing you have requested, to employ you, or we may stop providing existing services to you.",1
list_item,"11.6 A record of any fraud or money laundering risk will be retained by the fraud prevention agencies, and may result in others refusing to provide services, financing or employment to you. Fraud prevention agencies can hold your information for different periods of time, and if you are considered to pose a fraud or money laundering risk, your data can be held for up to six years.",1
list_item,"11.7 If you would like a copy of your information held by the credit reference and fraud prevention agencies we use, or if you want further details of how your information will be used by these agencies, please visit their websites or contact them using the details below. The agencies may charge a fee.",1
table,,2
header,12 How long we keep your information,0
list_item,"12.1 By providing you with products or services, we create records that contain your information, such as customer account records, activity records, tax records and lending and credit account records. Records can be held on a variety of media (physical or electronic) and formats.",1
list_item,"12.2 We manage our records to help us to serve our customers well (for example for operational reasons, such as dealing with any queries relating to your account) and to comply with legal and regulatory requirements. Records help us demonstrate that we are meeting our responsibilities and to keep as evidence of our business activities.",1
list_item,"12.3 Retention periods for records are determined based on the type of record, the nature of the activity, product or service, the country in which the relevant NatWest company is located and the applicable local legal or regulatory requirements. We (and other NatWest group companies) normally keep customer account records for up to ten years after your relationship with the bank ends, whilst other records are retained for shorter periods. Retention periods may be changed from time to time based on business or legal and regulatory requirements.",1
list_item,"12.4 We may on exception retain your information for longer periods, particularly where we need to withhold destruction or disposal based on an order from the courts or an investigation by law enforcement agencies or our regulators. This is intended to make sure that the bank will be able to produce records as evidence, if they’re needed.",1
list_item,"12.5 If you would like more information about how long we keep your information, please contact us at 03457 888 444. Overseas number: +44 3457 888 444. Relay UK 18001 03457 888 444.",1
header,13 Security,0
para,We are committed to ensuring that your information is secure with us and with the third parties who act on our behalf. For more information about the steps we are taking to protect your information please visit https://personal.natwest.com/personal/fraud-and-security.html or contact us at 03457 888 444. Overseas number: +44 3457 888 444. Relay UK 18001 03457 888 444.,0
header,Schedule A – Schedule of Purposes of Processing,0
