tag,content,level
header,C M Y K,0
para,PMS ? ?? PMS ? ?? PMS ? ?? PMS ? ? ?,1
header,Mortgage Intermediary – Terms and Conditions,0
para,Before you submit mortgage applications to Barclays you will need to read and accept these terms and conditions.,1
header,Non-printing Colours,2
header,COLOUR COLOUR,3
para,JOB LOCATION:,4
header,PRINERGY 3,2
para,"These terms apply between any mortgage intermediary (“You”, “Your”) who does business or wishes to do business with Barclays (“We”, “Us”, “Our”).",3
para,"In these Terms and Conditions the following deﬁnitions shall apply: Afﬁliate means any person or entity Controlling, Controlled by or under common Control with such Party; Agreement means the terms and conditions set out below;",3
para,"Borrower means an Applicant to whom a Mortgage Advance has been made, or is to be made, or may be offered; Bribery Act means the UK Bribery Act 2010 (as amended from time to time);",3
para,"Business Day means a day in the UK on which banks are open for business (other than a Saturday, Sunday or a Bank Holiday); Club means a club which operates through an association of Members for the purposes of negotiating matters such as Fees with mortgage lenders and providing marketing and promotional activities on behalf of its Members, where such Club has entered into an agreement directly with Barclays in respect of introductions to be made to Barclays by its members; Completion means the making of a Mortgage Advance to the Applicant. For the avoidance of doubt this may differ from legal completion;",3
list_item,"Applicable Anti-Bribery Law means any bribery, fraud, kickback, or other similar anti-corruption law or regulation to which Barclays, You and/or (if You are a Relevant Commercial Organisation) Your Associated Persons, as applicable, are subject in carrying out the Services or Your obligations under this Agreement. Where relevant this may include the Bribery Act and the US Foreign Corrupt Practices Act 1977 (“FCPA”); Applicable Regulations means all laws, regulations, orders, rules of and directions from Regulators and industry codes of practice applicable to the marketing, selling and/or variation of mortgages, insurance and related products in (a) the UK including FSMA, the FCA Handbook and in particular MCOB and (b) any jurisdiction in which You do business;",3
list_item,Applicant means the individual or individuals to whom Barclays are considering making a Mortgage Advance; Application means an application for a Mortgage Advance (in the form speciﬁed by Barclays from time to time) which has been completed by the Applicant and sent to Barclays for initial vetting and processing in accordance with the terms of this Agreement; Appointed Representative has the meaning given to it under section 39(2) of the FSMA;,3
list_item,"Conﬁdential Information means in relation to a Party to this Agreement (ﬁrst Party) any and all information in whatever form (including Personal Data and any details of a Party’s or its Afﬁliates’ business, affairs, customers, clients, suppliers, plans or strategy), whether in oral, tangible or in documented form and which is disclosed to or otherwise learnt, acquired or developed by the other Party in connection with this Agreement (or its subject matter) that (i) is by its nature conﬁdential; or (ii) the other Party knows or ought to know is conﬁdential; or (iii) is designated by the ﬁrst Party as conﬁdential;",3
list_item,Control means the power to direct or cause the direction of the,3
list_item,management and policies of such entity. Without limitation to,3
list_item,"the foregoing, any entity owning more than 30% of the voting",3
list_item,securities of a second entity shall be deemed to control that,3
list_item,second entity. The terms “Controlling” and “Controlled” shall,3
list_item,have a corresponding meaning;,3
list_item,Current Forms means the current version of the Application forms,3
list_item,provided by Barclays from time to time;,3
list_item,"Associated Person means in relation to any entity, a person who performs any service for or on behalf of that entity in any capacity and including, without limitation, employees, agents, subsidiaries, representatives and subcontractors; Barclays means Barclays Bank UK PLC, Company Number 9740322; Barclays Group means Barclays, its subsidiary undertakings, its parent undertakings, any other subsidiary undertakings or its parent undertakings and any other undertakings with which Barclays has a close connection as notiﬁed by Barclays to You from time to time, with the terms “subsidiary undertaking” and “parent undertaking”as deﬁned in the Companies Act 2006;",3
list_item,"Data Protection Legislation means all legislation and regulations relating to the protection of Personal Data including (without limitation) the EU General Data Protection Regulation 2016/679 (""GDPR""), the Data Protection Act 2018, the Privacy and Electronic Communications (EC Directive) Regulations 2003 and all other industry guidelines (whether statutory or non-statutory) or codes of practice issued by the ofﬁce of the Information Commissioner relating to the processing of Personal Data or privacy or any amendments and re-enactments thereof. ""Personal Data"", ""Data Controller"", ""Data Processor"" and ""Processing"" shall have the meaning provided under the GDPR; Disclosing Party means, in relation to any Conﬁdential Information, the Party or Afﬁliate to whom such Conﬁdential Information belongs;",3
list_item,FCA means the Financial Conduct Authority (and any successor bodies or body);,3
list_item,FCA Handbook means the FCA’s Handbook of rules and guidance made pursuant to the FSMA;,3
list_item,or a ﬁrm or entity of a similar character formed under the law of a country or territory outside the United Kingdom; Party means a party to this Agreement and “Parties” shall be construed accordingly;,3
list_item,Fees means the fees calculated in accordance with clause 7 of this Agreement;,3
list_item,"Force Majeure means any event outside the reasonable control of the Parties including ﬁre, war or civil unrest, act of God, act of terrorism, ﬂood or adverse weather conditions or industrial action; FSMA means the Financial Services and Markets Act 2000;",3
list_item,"Permissions mean permissions, licences, consents or authorisations required under the FSMA or any other relevant Applicable Regulations; PRA means the Prudential Regulation Authority (and any successor of the PRA); Property means the property over which security is, or is to be, taken in respect of the Mortgage Advance;",3
list_item,Good Industry Practice means all relevant practices and professional standards that would reasonably be expected from a service provider within the mortgage industry providing services substantially similar to the Services or part thereof;,3
list_item,Public Ofﬁcial means:,3
list_item,i.,3
list_item,"any ofﬁcer, employee or representative of a government,",3
list_item,"whether national, federal or local;",3
para,Government Entity means:,3
list_item,"ii. any individual exercising a legislative, administrative or judicial function, whether appointed or elected;",4
list_item,"i. any national, federal, state, province, local and/or municipal government department, agency, ofﬁce and/or instrumentality; ii. any company or organisation where a government has 50 percent or more ownership interest; iii. any ofﬁcer, employee or representative of any Government Entity, including but not limited to central banks, sovereign wealth funds, state- run hospitals and any business venture that is owned or controlled by a Government Entity;",5
list_item,iii. any company or organisation where a government controls a majority of votes attaching to the shares: iv. any candidate for or holder of public ofﬁce;,5
list_item,v. any political party or ofﬁcial of a political party;,6
list_item,"• companies and organisations that are controlled by a government. For example, the term ‘Government Entity’ will generally include companies and organisations that: vi. any ofﬁcer, employee or representative of a public international organisation; and",7
list_item,"• have constituting statutes that establish that they are instrumentalities, agents or mandatories of a government; • perform functions or services that are public-in-nature (i.e. for the beneﬁt of the general public or a large sector of the population); vii. any member of a royal family; Receiving Party means that Party to whom the Conﬁdential Information of the other Party may be learnt, developed or otherwise acquired pursuant to or in connection with this Agreement;",7
list_item,"• are ﬁnancially dependent on the government (i.e. the government is responsible for losses or funding of operations); • do not operate on a normal commercial basis (e.g. because they are given special powers by legislation); Regulated Mortgage Contract has the same meaning given to it in the Financial Services and Markets Act 2000 (Regulated Activities) Order 2001; Regulator means the FCA, PRA and any other enforcement authority or regulator of activities carried on by You or Barclays;",7
list_item,"• have boards of directors or management committees where the government nominates a majority of directors or ofﬁcers; Relevant Commercial Organisation shall have the same meaning as in section 7 of the Bribery Act, as amended from time to time, and as at the date of this Agreement means:",7
table,,4
para,Partnership means:,3
