tag,content,level
header,Give me the facts,0
header,Welcome,0
para,"This guide explains how your account works. It takes you through the ways you may be able to access your account, make payments and keep both your finances and information safe. Not all of the services mentioned apply to all types of accounts.",1
header,Contents,0
table,,1
header,Accessibility,1
para,To find out more about our accessible services please visit firstdirect.com/accessibility.,2
para,"If you’d like this document in another format such as large print, Braille or audio, please contact us on 03 456 100 100 or Text-phone 03 456 100 147 and we’ll be happy to arrange an alternative version for you.",2
header,Easy access to your account,0
header,Online,1
para,"The quickest and easiest way to access your accounts 24/7. See your accounts in one place, view your statements, make payments, send money, and manage your Direct Debits and Standing Orders. To register for Online Banking, visit firstdirect.com, click on Online Banking at the top of the page and follow the instructions.",2
header,On your mobile,1
para,You can access our Mobile App to:,2
list_item,• set up new payee’s and make Bill Payments to people in the UK,2
list_item,"• send money between your first direct account(s), and",2
list_item,• view account balances,3
list_item,"• pay in cheques any time, any place using your compatible phone. Value limits apply find out more at firstdirect.com/pay-in-a-cheque.",3
header,By phone,1
para,"You can call us 24/7 and 365 days a year. Your call will always be answered by a real person here in the UK. Call us on 03 456 100 100 from the UK, or +44 113 234 5678 outside the UK.",2
header,By Text-phone,1
para,You can contact us using a Text-phone on 03 456 100 147 from the UK and via the Text Relay service on +44 151 494 1260 outside the UK.,2
header,In HSBC branches,1
para,"For speed and convenience, most HSBC branches offer: Counter service (where available) - pay cash and cheques into your account(s) Cash machines – Withdraw cash (up to your daily card limit), pay your credit card bill, get a mini- statement or change your PIN. You can also check your account balance or change your PIN using cash machines worldwide wherever you see the relevant card network provider logo. Just so you know, if you have a Mastercard debit card you are currently unable to get a mini-statement, or make a credit card payment.",2
para,Paying-in machines – Deposit cash; If you have a Visa debit card you can use the self-service machines to pay in your cash deposits. If you have a Mastercard debit card you are currently unable use the self-service machines to pay in cash deposits.,2
para,Deposit cheques; If you have a Visa debit card you can use your card to initiate a cheque deposit. If you have a Mastercard debit card you must use your sort code and account number to initiate a cheque deposit.,2
header,Services available at Post Office® branches,1
para,"You can withdraw cash, pay in cash and check your current account balance at Post Office® branches in the UK using your debit card. You can also pay in cheques by completing a pre-printed paying in slip and handing this to the Post Office® cashier in a paying in envelope. You must have a PIN to be able to use your card at Post Office® branches.",2
para,Cheques deposited at Post Office® branches will take longer to reach your account than those paid in at HSBC branches.,2
header,What Payment types are there?,0
para,"You can pay for goods and services using your debit card (including contactless payments), on the move or from the comfort of your armchair electronically (via Online Banking or Mobile Banking), or by cheque. Some Payment types have cut-off times which can be found in your first direct Account Terms and Conditions, online, or by giving us a call. Whichever payment type you choose, we’ll action your request as soon as possible.",1
para,"Please remember, you must make sure you have enough money in your account (or enough money in your arranged overdraft) before making a payment. And if a payment has been sent in error, you must contact us as soon as possible.",1
para,You can also use:,1
list_item,"• Apple Pay, Samsung Pay and Google Pay - a fast, easy and secure way to pay for goods and services by linking your first direct card to your mobile device. If you have not previously registered your card for an e-wallet pay service, then you would need to register before you can use it. For further guidance and step by step instructions on how to set this up visit www.firstdirect.com/banking/ways-to-bank",1
list_item,"• Bill Payments using the Faster Payments Service – a payment made in sterling to the account of a person or business in the UK, Channel Islands and Isle of Man",2
list_item,• Standing Orders – money sent in sterling to a person or business in the UK,2
list_item,• Direct Debits – money transferred from your account at your request in sterling to a person or business in the UK on a date or dates you’ve agreed with the person or business. The amount may vary,2
list_item,"• CHAPS – money sent in sterling through the Clearing House Automated Payment System, usually for high values",2
list_item,"• Internal Transfers – money sent in sterling between first direct accounts (including HSBC UK and M&S Bank) held with us in your name, including joint accounts",2
list_item,"• Cheques – cheques you write will settle via the Image Clearing System (ICS). This will be by way of a digital image. When your cheque is cleared through ICS you’ll see your funds being taken from your account the next working day, so it’s important that the money is in your account when you write the cheque and give it to the person you’re paying. Timescales will vary depending on the bank you’re paying the cheque into as not all banks are subscribed to the ICS yet",2
list_item,• Paym – to securely send money from eligible current accounts using their mobile telephone number (if they’re also registered for Paym) instead of their account details.,2
header,International Payments,1
para,"We’ve made it convenient, quick and easy for you to send money outside the UK:",2
list_item,• Available 24/7 via Online Banking Send sterling or foreign currency in a matter of minutes. We’ve also made it easy for you to set up future dated and recurring payments.,2
list_item,• Simple Fees Send money online for a small fee - please see our Charges and additional product terms for details. There’s no fee at all if you send money to another first direct or HSBC Account. Other third party bank fees may apply which are outside our control.,2
list_item,• Exchange Rate Certainty With live rates updated by the second during market hours we’ll provide you with our most up to date foreign exchange rate available - providing you with the certainty and visibility of how much you’re sending.,3
list_item,• Safe & Secure Using your own bank means you’ll have peace of mind knowing that your transaction is secure.,3
header,Protecting your information,0
para,It’s important to keep your finances safe. Here are some of the steps you can take to help keep your money and information secure:,1
header,Keep your details up-to-date,2
para,Let us know if you change your name or contact details as soon as possible. Remember to make sure that confidential information detailed in any of our communications with you is not seen by anyone else.,3
header,Regularly check your statements,2
para,"You should check your statements as soon as you get them, and call us immediately if anything looks suspicious.",3
header,Tips for writing cheques,2
para,We recommend that you:,3
list_item,• write clearly and use blue or black ink that can’t be erased,3
list_item,• reduce gaps between words or figures,3
list_item,"• add further information, eg a reference name or an account number when making a cheque payable to a large organisation",3
list_item,• draw horizontal lines through blank space on the ‘pay’ line,3
list_item,• do not sign a cheque before you use it,3
list_item,"• if you post a cheque to someone, clearly write the name of the person you are paying the cheque to and put extra information about them on the front of the cheque eg, Inland Revenue, Account J Jones.",3
header,Telephone banking,2
para,When you open your 1st Account with us we’ll ask you if you’d like to register for Phone Banking. We’ll ask you to provide us with a password and some information personal to you. When you call we’ll ask you for two letters from this password and the answer to an additional security question.,3
header,Textphone users,2
para,Please remember to clear your textphone’s memory after every conversation with us. Remember to tear out and destroy any printed record of your personal details from any printer attached to your textphone.,3
para,Keep your textphone in good working order as a general security measure.,3
header,Important Security Information,2
para,"You must take all reasonable precautions to keep safe and prevent fraudulent use of any cards, security devices and security details (including PINs, security numbers, passwords or other details including those which allow you to use Online Banking and phone banking). These precautions include but are not limited to all of the following, as applicable:",3
header,General,2
