tag,content,level
header,Ways we use your data,0
header,These are some of the important ways we use your data.,0
para,"If you’re not sure what some of this information means, you may want to ask your parent or guardian to read this with you.",0
header,We look after your personal information,0
para,"To open your account we need to know some things about you, like your name, address and date of birth.",1
para,This is your personal information and Lloyds Bank will hold this information and look after it. How we use your personal information We need the information you give us to provide you with an account.,1
para,"We use your personal information so you can do things, like pay for something you want to buy or check what money you have in your account online.",2
para,If you want to know more about how we use your personal information please visit the privacy page on our website.,2
para,"We collect your personal information We collect information about you when you apply for accounts with us, like you are doing now.",1
para,"But we will also collect information at other times, for example if you call us on the phone or talk to someone in one of our branches.",1
para,"Lloyds Bank plc. Registered Office: 25 Gresham Street, London EC2V 7HN. Registered in England and Wales no. 2065 Lloyds Bank plc is authorised by the Prudential Regulation Authority and regulated by the Financial Conduct Authority and the Prudential Regulation Authority under registration number 119278.",2
header,By your side,0
para,"Who we share your personal information with Lloyds Bank is part of Lloyds Banking Group, so to run your account we have to share your personal information with different parts of our group.",1
para,"Sometimes we also need to share your personal information with other companies who help us provide important services, for example we need to share your data so you can buy something in a shop using your debit card.",1
header,M61246 (06/21),2
