tag,content,level
header,Current Accounts Specific Conditions for accounts no longer available to new customers,0
para,Effective from 5 May 2020.,1
header,Contents,0
header,Specific Conditions,1
table,,2
para,These specific terms and conditions are only applicable to current accounts which are no longer available to new customers.,1
header,Specific Conditions,0
para,These Specific Conditions are in addition to the General Terms and Conditions for Current Accounts and Savings Accounts (‘the General Conditions’).,1
header,Specific Conditions A: For Zero Current Accounts,2
header,A1 Introduction,3
para,These conditions apply to any person who opened a Zero Current Account with us who met the eligibility criteria as set out in A2 below. If there is any inconsistency between the General Conditions and these Specific Conditions the Specific Conditions will prevail.,4
header,A2 Eligibility,3
header,To be eligible for the Zero Current Account:,4
para,A.2.1.1 You must be a UK resident and be 18 years of age or over;,5
para,"A.2.1.2 You must be a residential mortgage account holder with Santander UK plc, a Santander investment account holder or a Santander savings account holder. You must remain a Santander mortgage, Santander investment or Santander savings account holder for the duration of time you hold a Zero Current Account;",5
para,"A.2.1.3 For customers who hold a mortgage with Santander UK plc the mortgage must not be in arrears. Customers with an investment will only be eligible if their investment is with Santander ISA Managers Limited (excluding Cash ISAs), Santander Portfolio Management UK Limited or Santander Unit Trust Managers Limited or have an Index Linked Savings Bond. Customers with a Santander savings account must have a minimum balance of £10,000. The £10,000 balance can be spread across one or more Santander savings accounts but it must have been held for the last three months; and A.2.1.4 It is a requirement to pay money into your account with at least £1,000 each month.",5
para,Customers who hold both a mortgage and a savings or investment product are required to meet all of the above criteria to be eligible.,5
para,"We will check you remain eligible for the account on a regular basis. If you fail to meet these eligibility requirements you will cease to be eligible for the Zero Current Account. If you fail to pay money into your account with £1,000 each month, we will notify you of this in writing and give you 60 days’ notice that you will be moved to another account. Similarly, if you fail to hold an eligible Savings, Investment or Mortgage product (as outlined above), following 60 days’ written notice, you will be moved to another account. In both instances you will be obliged to pay any fees in accordance with the General Conditions and Interest Rates and Fees for accounts no longer available to new customers leaflet.",5
header,A3 Number of accounts,3
para,Customers are limited to a maximum of two Zero Current Accounts per person; this includes both single and joint account types.,4
header,A4 Use of your account,3
list_item,A4.1 Your account must be used as your Primary Current Account.,4
list_item,A4.2 You must pay money into your account with a minimum sum each month – please see A.2.1.4 above for details.,4
header,A5 Joint Accounts,3
