,header,body,H_relevance,N_relevance,N_relevance_notes,L_relevance_notes,L_relevance,H_keywords,H_keywords_notes,N_keywords_notes,N_keywords
0,What is a 'Personal Loan?',"A personal loan from Santander is a loan for a fixed amount, repayable over a fixed period of time with interest charged at a fixed rate. The duration or term of the loan will depend on what is agreed at the time the loan is made but is generally for a short or medium term. The loan is unsecured which means that Santander will not take a charge over your property when you take out the loan.",0,0,1,"Answer: Yes

Justification: The header ""What is a 'Personal Loan?'"" asks about the definition or explanation of a personal loan, which the body text provides by describing its key characteristics such as being for a fixed amount, having a fixed period of repayment, and being unsecured.",0,1,,,1
1,Put Simply,"It's money that you borrow from us. The amount of the money that you borrow, the interest rate and the repayment time period are all fixed. We don't take security for a personal loan.",1,1,0,"Answer: No

Justification: The header ""Put Simply"" suggests that the following text will be a concise and straightforward explanation of a complex concept. However, the body text appears to be providing detailed information about the terms and conditions of a personal loan, rather than simply explaining what a personal loan is. The language used is formal and informative, rather than simple and concise, which contradicts the expectation set by the header.",1,1,,,1
2,What checks do you need to do for me to get a personal loan with Santander," If you wish to apply for a loan then we will, with your prior consent, conduct a search of your credit history with a credit reference agency. This will leave a record on your credit file. We may decline your application if you provide us with any false information as part of your application, or if there are issues with your credit score when we check your details with a credit reference agency. We will give you details of the agency that we used to inform our decision so you may contact them. For more information, a leaflet called ‘Your application and credit scoring’ is available on request.",0,0,0.16666666666666666,"No

The heading asks about ""checks"" needed to get a personal loan, but the body text talks about searching credit history, checking credit score, and providing false information, which are different types of checks. The heading does not accurately reflect the content of the body text.",1,0,check,check,0
3,Put Simply,"To apply for a personal loan you must agree to us conducting a credit check on you. It's very important to provide accurate information in your application - we might decline your application based on the results of your credit check, or if you have provided false information.",1,1,0,"Answer: No

Justification: The header ""Put Simply"" suggests that the following text will be a concise explanation of a complex concept. However, the body text discusses the requirement for a credit check as part of the personal loan application process, which doesn't seem to fit the tone or purpose implied by the header.",1,1,,,1
4,How much do I have to pay under the agreement,"You will need to make repayments every month which include principal (the original loan amount) and interest over the duration of the loan. The monthly repayments will be for the same amount every month until the loan is fully repaid. Details of the amount you have to pay (both monthly and in total, including all interest) including the frequency and number of repayments, and the duration of the loan, are contained in your credit agreement.",0,0,0.6666666666666666,"Answer: Yes

Justification: The header asks ""How much do I have to pay under the agreement"", which is answered by the body text that explains the components of monthly repayments (principal and interest), the frequency and duration of repayments, and how to find the detailed information in the credit agreement.",0,0,"pay, agreement","pay, agreement",0
5,Put Simply,"You pay a fixed amount each month (made up of the original loan amount and the interest charged). Your credit agreement will detail how much you pay (in total and each month), and when the payments will be due.",1,1,0,"Answer: No

Justification: The header ""Put Simply"" suggests that the following text should be a concise and easy-to-understand explanation of a complex concept. However, the body text appears to be providing detailed information about repayment terms, including the composition of monthly payments and payment schedules, which does not fit the expectation set by the header.",1,1,,,1
6,What are the consequences if I do not keep up with repayments?,"If you fail to make a repayment on the date it falls due you may be charged interest on any arrears that you incur at the same interest rate as you pay on your loan. As a consequence the total cost of the loan may increase. If you have any current or savings account with Santander UK or any other member of the Santander Group, we may move funds from those accounts to settle any outstanding payments on your loan. If you miss a loan payment we will record the details with a credit reference agency which could damage your credit rating and may make it more difficult for you to obtain credit in the future. Also, failure to make your loan payments when they fall due may result in legal proceedings being taken against you by Santander UK plc, which may result in us taking enforcement action against you in order to recover the monies that are owed. If you don’t make your repayments and incur significant arrears we may decide to sell or transfer your loan to a debt recovery company. That company may commence legal proceedings against you that may result in enforcement action being taken against your property for recovery of the monies owed.",0,0,0.3333333333333333,"Answer: Yes

Justification: The header asks about the consequences of not keeping up with repayments, and the body text provides detailed explanations of what happens if a customer fails to make a repayment, including potential charges, increased costs, damage to credit ratings, legal proceedings, and debt recovery actions. The body text directly addresses the question posed by the header, providing relevant and related information about the consequences of non-payment.",0,0,"repayment, consequence",repayment,0
7,Put Simply,"If you miss a repayment, you’ll be charged interest on the missed payment, so you end up paying back more on your loan. In addition, we can deduct the missed payment and interest from your other accounts with us. If you miss multiple repayments, your credit rating can be damaged and you might have personal legal proceedings brought against you. To avoid getting into this situation, please contact us if you are having difficulties in making your repayments.",1,1,0,"Answer: No

Justification: The header ""Put Simply"" suggests that the following text will be a concise explanation of a complex concept. However, the body text does not provide a simple explanation; instead, it lists potential consequences of missing a repayment, including additional charges, deductions from other accounts, damage to credit rating, and personal legal proceedings. The tone is serious and warning-oriented, rather than simple and explanatory.",1,1,,,1
8,Are there any features of the agreement which may operate in a manner which may adversely affect me?,"Before applying for a Personal Loan you should read all the pre-contractual information and the credit agreement provided to you carefully to ensure that this is the best product for you and that you understand the features of this product. If you breach the terms of the agreement you may be charged default interest which is detailed in your credit agreement. Also, if you don’t make your repayments and incur significant arrears we may decide to sell or transfer your loan to a debt recovery company.",0,0,0.42857142857142855,"Answer: Yes

Justification: The header asks about potential adverse effects of the agreement, and the body text discusses consequences of breaching the agreement, such as being charged default interest and having the loan sold or transferred to a debt recovery company. These consequences could be considered ""features"" of the agreement that may operate in a manner that affects the customer negatively.",0,0,"agreement, affect",agreement,0
9,Put Simply,We’ve prepared a document for you called ‘Pre-contract Credit Information’ which you should read and consider carefully before taking out a Personal Loan to make sure that it is right for you.,1,1,0,"Answer: No

Justification: The header ""Put Simply"" suggests that the following text will be concise and easy to understand, but the body text does not meet this expectation. Instead, it presents a formal instruction to read a specific document, which is not a simple explanation. The tone and content of the body text do not match the promise made by the header.",1,1,,,1
10,Your Right to Cancel (and repay early),"You have 14 days to change your mind from the date that you sign the agreement – this can be either changing the amount of the loan, seeking a different facility, or cancelling the loan altogether. If you exercise the right to withdraw from the agreement you must repay any monies we have advanced to you within 30 days from the date that you notified us of your intention to cancel. If you want to cancel you can do so by contacting us in writing or by telephone. Please refer to the agreement for details and the addresses of who to contact. You are entitled to repay the loan in full any time after the initial period of 14 days. Details of how you may do this and who to contact if you wish to exercise this right – together with details of any charges that may apply – are contained in the agreement.",0,0,0.75,"Answer: Yes

Justification: The header ""Your Right to Cancel (and repay early)"" suggests that the following text will discuss the customer's options for terminating or modifying the agreement. The body text indeed explains the process of exercising the right to cancel, including the timeframe, repayment requirements, and contact information. While the text also mentions repaying the loan early, it does so as part of the broader discussion of cancellation rights, making the connection between the header and body logical and coherent.",0,0,"cancel, repay","cancel, repay",0
11,Put Simply,"You can change your mind up to 14 days after you sign. If you do this, you must repay anything you owe. You may repay the loan in full at any time before the final payment is due. Details of how to do this are in your agreement. A personal loan is designed for borrowing a fixed amount of money over the full term of the loan, however it can be repaid early, if you wish. If you’re thinking about doing this you should carefully check your credit contract beforehand, as costs and charges may apply when it is repaid before the end of the full term.",1,1,0,"Answer: No

Justification: The header ""Put Simply"" suggests that the following text will be a concise explanation of a complex concept. However, the body text discusses various aspects of changing one's mind, repaying a loan, and repaying a personal loan early, which doesn't seem to fit the promise of simplicity implied by the header.",1,1,,,1
