bank,header,level,H_grammar,H_grammar_notes,H_passive_verbs,H_subheadings,H_subheadings_notes,H_length,N_length_notes,N_length
barclays,Barclays Wealth Management Additional Banking Terms,0,,,,,,0,6,0
barclays,1. How the Customer Agreement applies to non-personal Barclays Wealth Management Banking customers,0,,,,,,0,13,0
barclays,2. Keeping each other informed,0,,,,,,0,5,0
barclays,3. Carrying out your instructions,0,,,,,,0,5,0
barclays,4. Making payments out of and into your account,0,,,,,,0,9,0
barclays,Making payments out of your account,1,,,,0.0,,0,6,0
barclays,Payments into your account,1,,,,0.0,,0,4,0
barclays,International payments,2,,,,0.0,,1,2,1
barclays,5. Borrowing on a joint account,0,,,,,,0,6,0
barclays,6. If something goes wrong,0,,,,,,0,5,0
barclays,If you owe us money,1,,,,0.0,,0,5,0
barclays,7. Costs and charges,0,,,,,,1,4,0
barclays,8. Complaints,0,,,,,,1,2,1
barclays,9. If something happens to you,0,,,,,,0,6,0
barclays,What happens if someone dies,1,,,,1.0,what happens to you and if someone dies doesn't match- main heading should be different,0,5,0
barclays,What happens if a non-personal customer goes out of business,1,,,,0.0,,0,10,0
hsbc,Personal Loans,0,,,,,,1,2,1
hsbc,Terms and Conditions,0,,,,,,1,3,0
hsbc,How and when will we give you the loan?,1,,,,0.0,,0,9,0
hsbc,What is the cost of the loan?,1,,,,0.0,,0,7,0
hsbc,How must you repay the loan?,1,,,,0.0,,0,6,0
hsbc,What should you do if your details change?,1,,,,0.0,,0,8,0
hsbc,Can you repay the loan early?,1,,,,0.0,,0,6,0
hsbc,What are our rights if you miss a repayment or we have other concerns?,1,1.0,"Comma missing: ""repayment, or""",,0.0,,0,14,0
hsbc,Can we use any other funds to repay the loan?,1,,,,0.0,,0,10,0
hsbc,Can we transfer our rights under this agreement?,1,,,,0.0,,0,8,0
hsbc,What law governs this agreement?,1,,,,0.0,,0,5,0
hsbc,Right to withdraw,1,,,,0.0,,0,3,0
hsbc,Important information,0,,,,,,1,2,1
hsbc,How to contact us,1,,,,0.0,,0,4,0
hsbc,How can you keep track of what you owe?,1,,,,0.0,,0,9,0
hsbc,How can you make a complaint?,1,,,,0.0,,0,6,0
hsbc,How we are authorised,1,,,1.0,0.0,,0,4,0
hsbc,Accessibility,0,,,,,,1,1,1
lloyds,Club Lloyds Lifestyle Benefits Terms and Conditions,0,,,,,,0,7,0
lloyds,General Terms and Conditions,0,,,,,,0,4,0
lloyds,Cinema Terms and Conditions,0,,,,,,0,4,0
lloyds,Vue Specific Cinema Terms and Conditions,0,,,,,,0,6,0
lloyds,ODEON Specific Cinema Terms and Conditions,0,,,,,,0,6,0
lloyds,Gourmet Society Digital Membership Terms and Conditions,0,,,,,,0,7,0
lloyds,Magazine Subscription Terms and Conditions,0,,,,,,0,5,0
lloyds,Rakuten TV Terms and Conditions,0,,,,,,0,5,0
natwest,MyRewards Terms,0,,,,,,0,2,1
natwest,Contents,0,,,,,,0,1,1
natwest,1 What is MyRewards?,0,,,,,,0,4,0
natwest,2 How to set up your MyRewards,0,,,,,,0,7,0
natwest,3 Earning Rewards,0,,,,,,0,3,0
natwest,(a) What are Rewards and how do you earn them?,1,,,,0.0,,0,10,0
natwest,(b) Joint accounts (current accounts),1,,,,1.0,not sure how it connects,1,5,0
natwest,(c) Additional cardholders (credit cards),1,,,,1.0,not sure how it connects,1,5,0
natwest,(d) Payments which won't earn Rewards,1,,,,0.0,,0,6,0
natwest,4 How you can use your Rewards,0,,,,0.0,,0,7,0
natwest,5 How we'll get in touch with you and how we use your information,0,,,,,,0,14,0
natwest,(a) Communications from us,1,,,,0.0,,0,4,0
natwest,(b) Keeping your details up to date,1,,,,0.0,,0,7,0
natwest,(c) How we use your information,1,,,,0.0,,0,6,0
natwest,6 Security,0,,,,,,1,2,1
natwest,7 Changing the MyRewards service,0,,,,,,0,5,0
natwest,8 Suspending or closing your MyRewards service,0,,,,,,0,7,0
natwest,(a) When we can suspend your MyRewards,1,,,,0.0,,0,7,0
natwest,(b) Closing your MyRewards,1,,,,0.0,,0,4,0
