header,body,is_shuffled,manual_label,manual_notes,H_relevance,L_relevance_1,L_relevance_notes_1
What should you do if your details change?,"6. If you change your name, address, telephone number or email address you must tell us in writing or by calling us. We will use the most recent details you have given us to send information and contact you.",0,,,0,1,"No.

The heading ""What should you do if your details change?"" suggests that the body will provide instructions or guidance on what actions to take when one's details change. However, the body only lists specific examples of changes (name, address, telephone number) without providing any actual steps or advice on what to do in such situations. The heading does not accurately introduce the nature of information contained in the body, which is simply a list of examples rather than actionable guidance."
C4 Joint Accounts,This account cannot be held in joint names,0,1,should establish cannot be held in joint names,1,1,"N

The heading ""C4 Joint Accounts"" suggests that the document will provide information about joint accounts, but the body text states that ""This account cannot be held in joint names"". The heading does not accurately introduce the nature of information contained in the body, which is actually a statement about what is not allowed rather than providing information about joint accounts."
Specific Conditions E: Variations to all accounts,"E1 We may: (i) Change these Specific Conditions in accordance with the General Conditions; (ii) For accounts with no fixed duration convert your account to another account in our range (for example, if you are no longer eligible for the account or if we decide to no longer offer that particular type of account). E2 If we do make any changes as set out above, we will give you at least two months' personal notice in accordance with the General Conditions, and will give you all relevant details. Any changes will take effect at the end of the notice period unless you close or change your account before then. You are in any case free to close your account at any time. Santander is able to provide literature in alternative formats. The formats available are: large print, Braille and audio CD. If you would like to register to receive correspondence in an alternative format please visit santander.co.uk/alternativeformats for more information, ask us in branch or give us a call. Santander UK plc. Registered Office: 2 Triton Square, Regent's Place, London, NW1 3AN, United Kingdom. Registered Number 2294747. Registered in England and Wales. www.santander.co.uk. Telephone 0800 389 7000. Calls may be recorded or monitored. Authorised by the Prudential Regulation Authority and regulated by the Financial Conduct Authority and the Prudential Regulation Authority. Our Financial Services Register number is 106054. You can check this on the Financial Services Register by visiting the FCA's website www.fca.org.uk/register. Santander and the flame logo are registered trademarks.",0,,,0,0,"Y

The heading ""Specific Conditions E: Variations to all accounts"" accurately introduces the nature of information contained in the body, which is about changing specific conditions related to account variations. The heading clearly indicates that the following text will discuss potential changes to certain conditions, which aligns with the content of the body (""We may..."")."
B4 Refusing a payment due to lack of funds,If you try to make a payment from your account when you do not have enough money in it to cover that amount we will refuse the payment due to lack of funds.,0,,,0,0,"Y

The heading ""B4 Refusing a payment due to lack of funds"" accurately introduces the nature of information contained in the body, which explains the scenario where a payment is attempted but refused due to insufficient funds. The heading clearly indicates that the content will be about refusing payments due to lack of funds, which aligns with the purpose of the body text."
(b) Joint accounts (current accounts),"If you have a joint account, each of you will have your own MyRewards. Joint account holders can earn Rewards on their own debit card. Only one joint account holder needs to log into our mobile banking app to earn the Rewards. You won't earn more Rewards if all joint account holders log in during that month. Only one joint account holder can receive the Rewards from Direct Debits and logging into our mobile banking app. You'll be able to choose which account holder will receive these Rewards into their MyRewards when you open your Reward current account. If you don't choose, one of the joint account holders will be automatically selected. You can change this at any time. You can check and change which account holder receives Rewards by going to natwest.com/myrewards or by calling 0370 901 6790 (Minicom 0800 027 1395). Please note that you can only change which account holder receives Rewards once in a 30 day period.",0,,,0,0,"Y

The heading ""Joint accounts (current accounts)"" accurately introduces the nature of information contained in the body because it clearly states that the text will be discussing joint accounts, specifically current accounts. The phrase ""(current accounts)"" provides additional specificity about the type of joint accounts being referred to. This sets the reader's expectation for what they will learn from reading the subsequent text."
Rakuten TV Terms and Conditions,"The following Cinema Supplier related terms & conditions will apply for both Vue and ODEON. 1. The Cinema Suppliers for Club Lloyds Lifestyle A Vue cinema voucher may only be exchanged in a Vue cinema and an ODEON cinema voucher may only be exchanged in an ODEON cinema. 2. For full details on ticket validity, please see the Cinema Supplier Specific Terms and Conditions below. 3. If you select cinema as your Lifestyle Benefit, the Administrator will use the postcode originally provided to Lloyds Bank to identify your nearest Cinema Supplier. You will have ability to manually change the allocated Cinema Supplier within the timeframe stipulated within your Welcome or Renewal Letter or Email. Your final choice must be communicated to the Administrator no later than the final date outlined in your Welcome Letter or Email for new customers or Renewal Letter or Email for Renewal customers.",1,,,1,1,"N

The heading ""Rakuten TV Terms and Conditions"" does not accurately introduce the nature of information contained in the body, which appears to be about cinema suppliers rather than TV terms and conditions."
2 How to set up your MyRewards,"MyRewards is the account where your Rewards will be collected. To use your Rewards, you can set up your MyRewards online by visiting natwest.com/myrewards. If you already have MyRewards and you open another NatWest product which earns Rewards, any Rewards you earn on that product will be added to your existing MyRewards. If you're unable to access the internet, you can use your Rewards by calling the Customer Service team on 0370 901 6790 (Minicom 0800 027 1395).",0,,,0,1,"N

The heading ""How to set up your MyRewards"" suggests that the body will provide instructions or steps to follow for setting up the MyRewards account. However, the body text only provides a general description of what MyRewards is, without providing any specific guidance on how to set it up. The heading does not accurately introduce the nature of information contained in the body, which is more of a definition rather than instructional content."
D9 Ending your studies,"If you decide not to continue with your postgraduate studies then you must notify us. If you leave your course (as defined in the 'Eligibility' section) you will no longer be eligible for this current account and any 1I2I3 Postgraduate Current Account Arranged Overdraft Allowance will be withdrawn. The services on your current account will be changed or your current account will be closed. When you complete your course, you will no longer be eligible for this current account. At this time, these Specific Conditions will cease to apply to your current account. Unless we agree with you before the end of your course that you can have a different facility with us, your 1I2I3 Postgraduate Current Account will automatically be transferred to the 1I2I3 Graduate Current Account and the Specific Conditions for the 1I2I3 Graduate Current Account will apply. We'll give you at least two months' notice of the date of the change or, if applicable, closure.",0,,,0,1,"No.

The heading ""D9 Ending your studies"" does not accurately introduce the nature of information contained in the body. The body text talks about deciding not to continue with postgraduate studies, which is unrelated to ending one's studies. The heading seems to be a random code or identifier rather than a descriptive title that sets up the reader for what follows."
4 How you can use your Rewards,"Rewards will be displayed as 'on their way' for 35 days. This means that the Rewards have been recorded but are not available to use. Once the Rewards are ready, they'll be shown as 'available'. After your Rewards become available and you've earned the equivalent of £5 or more in Rewards, you can exchange them (5.00 Rewards = £5 when exchanged). You have three options to use your Rewards: BANK IT Exchange your Rewards for money which is transferred to your current account or to your credit card. TRADE UP Exchange your Rewards for vouchers or tickets which you can use at selected retailers. DONATE IT Exchange your Rewards for money which you can donate to a participating charity. Please note: * Your Rewards have no monetary value until they are exchanged. * You can't change or cancel your option after you've conﬁrmed it. * Some exchange options and special offers may only be available for a short period of time and they may require a minimum Rewards balance. Any restrictions will be explained at natwest.com/myrewards.",0,,,0,1,"N

The heading ""How you can use your Rewards"" suggests that the body will provide information on how customers can utilize or benefit from rewards they have earned. However, the body text actually talks about how rewards will be displayed (""Rewards will be displayed as 'on their way'...""), which is not related to using the rewards. The heading does not accurately introduce the nature of information contained in the body."
9 Availability of the MyRewards service and our liability,"There may be times when the MyRewards service is unavailable for you to use due to maintenance or upgrades to systems used to provide the MyRewards service or outages in our phone network. We won't be liable to refund you for any losses caused by circumstances beyond our control (i.e. the situation was abnormal or unforeseeable), for example, due to extreme weather, terrorist activity or industrial action. If you'd like this information in another format, call us on 03457 888 444 (Minicom 0800 404 6161)",0,,,0,1,"N

The heading ""Availability of the MyRewards service"" suggests that the body will discuss the circumstances under which the MyRewards service is available or accessible. However, the body text actually talks about potential issues or limitations with the service (""There may be times when...""), rather than its availability. The heading does not accurately introduce the nature of the information contained in the body."
