bank,header,level,manual_labels,manual_notes,is_shuffled,H_subheadings,L_subheadings,L_subheadings_notes,L_subheadings_2,L_subheadings_2_notes
barclays,4. Making payments out of and into your account,0,,,0,,,,,
barclays,Making payments out of your account,1,0,,0,0,0,"This heading is directly related to the topic of making payments, which is mentioned in the main heading.",0,YES (Making payments out of and into your account)
barclays,Payments into your account,1,0,,0,0,0,,0,YES (Making payments out of and into your account)
barclays,International payments,2,0,,0,0,0,"This heading is a specific type of payment, which is mentioned in the parent heading.",0,YES (Payments into your account)
barclays,5. Borrowing on a joint account,0,,,0,,,,,"(Note: This heading is not directly related to the previous section, but it's still a separate topic)"
barclays,What should you do if your details change?,1,0,,1,1,1,This heading appears unrelated to the topic of the Customer Agreement and non-personal customers.,1,NO (This heading seems unrelated to borrowing on a joint account; it might be misplaced or belong elsewhere)
barclays,6. If something goes wrong,0,,,0,,,,,"(Context only, no evaluation needed)"
barclays,If you owe us money,1,0,,0,0,,,0,YES (If something goes wrong)
barclays,9. If something happens to you,0,,,0,,,,,"(Context only, no evaluation needed)"
barclays,What happens if someone dies,1,1,what happens to you and if someone dies doesn't match- main heading should be different,0,1,1,This heading appears unrelated to the topic of the Customer Agreement and non-personal customers,0,YES (If something happens to you)
barclays,What happens if a non-personal customer goes out of business,1,1,,0,1,,,1,NO (This heading seems unrelated to individual circumstances like death; it might be misplaced or belong elsewhere)
hsbc,Terms and Conditions,0,,,0,,,,,
hsbc,How and when will we give you the loan?,1,0,,0,0,0,"Yes, it's clear that this heading is relevant to the main heading ""Personal Loans"" as it provides more specific information about the loan process.",0,"Yes - This subheading is directly related to the main heading ""Terms and Conditions"" as it provides information about the loan process."
hsbc,What is the cost of the loan?,1,0,,0,0,0,"Yes, it's clear that this heading is relevant to the main heading ""Personal Loans"" as it discusses another important aspect of the loan.",0,"Yes - This subheading is indirectly related to the main heading ""Terms and Conditions"", providing information about the governing law."
hsbc,Important Security Information,2,0,,1,1,1,"No, this heading seems out of place among the others, which all discuss aspects of the loan process. It would be better placed at a higher level or as a separate section.",0,"Yes - Although not explicitly stated, this subheading likely provides information about the right to withdraw from the agreement, making it relevant to the main heading ""Terms and Conditions""."
hsbc,How must you repay the loan?,1,0,,0,0,0,"Yes, it's clear that this heading is relevant to the main heading ""Personal Loans"" as it discusses repayment terms.",0,"Yes - This subheading is again related to the main heading ""Terms and Conditions"", discussing repayment terms."
hsbc,What are our rights if you miss a repayment or we have other concerns?,1,0,,0,0,0,"Yes, it's clear that this heading is relevant to the main heading ""Personal Loans"" as it discusses consequences of missed payments.",0,"Yes - This subheading is also relevant to the main heading ""Terms and Conditions"", discussing potential issues that may arise during the loan period."
hsbc,Can we use any other funds to repay the loan?,1,0,,0,0,0,"Yes, it's clear that this heading is relevant to the main heading ""Personal Loans"" as it discusses repayment options.",0,"Yes - This subheading is still within the scope of the main heading ""Terms and Conditions"", discussing repayment options."
hsbc,Can we transfer our rights under this agreement?,1,0,,0,0,1,"No, this heading doesn't seem directly related to the loan process, but rather to the agreement itself. It might be better placed at a higher level or as a separate section.",0,"Yes - This subheading is also relevant to the main heading ""Terms and Conditions"", discussing the transfer of rights."
hsbc,What law governs this agreement?,1,0,,0,0,1,"No, this heading doesn't seem directly related to the loan process, but rather to the agreement itself. It might be better placed at a higher level or as a separate section",0,"Yes - This subheading is indirectly related to the main heading ""Terms and Conditions"", providing information about the governing law."
hsbc,Right to withdraw,1,0,,0,0,1,"No, this heading doesn't provide enough context to understand how it relates to the loan process. It might be better placed at a higher level or as a separate section.",0,"Yes - Although not explicitly stated, this subheading likely provides information about the right to withdraw from the agreement, making it relevant to the main heading ""Terms and Conditions""."
hsbc,A5 Joint Accounts,2,0,,1,1,1,"No, this heading doesn't seem directly related to the loan process, but rather to account types. It might be better placed at a higher level or as a separate section.",1,"No - This sub-subheading seems out of place, as it appears to be discussing a specific type of account rather than being directly related to the main heading ""Right to withdraw"". (Note: The relevance of this sub-subheading depends on the content, but based on the heading alone, it seems unrelated.)"
hsbc,Important information,0,,,0,,,,,N/A (main headings are not graded)
hsbc,How to contact us,1,0,,0,0,0,"Yes, it's clear that this heading is relevant to the main heading ""Personal Loans"" as it provides important contact information.",0,"Yes - This subheading is relevant to the main heading ""Important information"", providing contact details."
hsbc,How can you keep track of what you owe?,1,0,,0,0,0,"Yes, it's clear that this heading is relevant to the main heading ""Personal Loans"" as it discusses tracking loan balances.",0,"Yes - This subheading is also relevant to the main heading ""Important information"", discussing how customers can manage their debt."
